N,result,diversion
100,1.16666,0.190407
600,1.05323,0.10322
1100,0.901507,0.047709
1600,0.86284,0.0946614
2100,0.893511,0.0570856
2600,0.904907,0.0437732
3100,0.915762,0.0313997
3600,0.907399,0.0409057
4100,0.903447,0.0454591
4600,0.908808,0.0392919
5100,0.918837,0.0279484
5600,0.944436,8.58943E-05
6100,0.948307,0.00399609
6600,0.945699,0.00124933
7100,0.93935,0.00550077
7600,0.938954,0.00592524
8100,0.932605,0.0127731
8600,0.929255,0.0164238
9100,0.949778,0.00553889
9600,0.961074,0.017227
10100,0.950074,0.0058489
10600,0.945615,0.00116127
11100,0.951193,0.00701811
11600,0.949584,0.00533633
12100,0.956947,0.0129895
12600,0.959096,0.015201
13100,0.954402,0.0103571
13600,0.957916,0.0139878
14100,0.956355,0.0123778
14600,0.956232,0.012251
15100,0.947747,0.00340819
15600,0.949155,0.00488592
16100,0.945644,0.00119135
16600,0.945273,0.000799294
17100,0.940944,0.00379791
17600,0.945146,0.00066561
18100,0.947505,0.00315377
18600,0.945033,0.000546271
19100,0.952871,0.00876712
19600,0.954357,0.01031
20100,0.95335,0.00926477
20600,0.953808,0.00974035
21100,0.955626,0.0116247
21600,0.950159,0.0059375
22100,0.951977,0.00783662
22600,0.950274,0.00605833
23100,0.949907,0.00567446
23600,0.949556,0.00530657
24100,0.951236,0.00706364
24600,0.949291,0.00502933
25100,0.948199,0.0038827
25600,0.948668,0.0043752
26100,0.947256,0.00289172
26600,0.953208,0.00911735
27100,0.953559,0.00948173
27600,0.951431,0.00726651
28100,0.950763,0.00656887
28600,0.952157,0.00802415
29100,0.951834,0.00768692
29600,0.952507,0.00838774
30100,0.948635,0.00434077
30600,0.948703,0.00441167
31100,0.947517,0.00316649
31600,0.948216,0.00390073
32100,0.947378,0.00301996
32600,0.945373,0.000905628
33100,0.94196,0.0027143
33600,0.942121,0.00254311
34100,0.943703,0.000862828
34600,0.942148,0.00251463
35100,0.941745,0.00294328
35600,0.940535,0.00423425
36100,0.940435,0.00434088
36600,0.943525,0.00105123
37100,0.946795,0.00240532
37600,0.945581,0.00112519
38100,0.94491,0.000415673
38600,0.946019,0.00158776
39100,0.947846,0.00351208
39600,0.947417,0.00306101
40100,0.948696,0.00440502
40600,0.948986,0.00470887
41100,0.948795,0.00450901
41600,0.948142,0.00382303
42100,0.948428,0.00412331
42600,0.948022,0.00369736
43100,0.948529,0.00422907
43600,0.948577,0.00428012
44100,0.949066,0.00479257
44600,0.948453,0.00414995
45100,0.950226,0.00600745
45600,0.949187,0.00492031
46100,0.95007,0.00584453
46600,0.951559,0.00740058
47100,0.953223,0.00913348
47600,0.956282,0.012303
48100,0.955842,0.0118476
48600,0.95401,0.00995002
49100,0.953007,0.00890838
49600,0.953985,0.00992406
50100,0.954555,0.0105153
50600,0.95569,0.0116906
51100,0.955851,0.0118578
51600,0.954314,0.0102661
52100,0.955419,0.0114106
52600,0.955394,0.0113846
53100,0.956285,0.0123054
53600,0.956796,0.0128333
54100,0.956759,0.0127949
54600,0.957435,0.0134916
55100,0.956686,0.0127202
55600,0.955077,0.011057
56100,0.95783,0.0138986
56600,0.958644,0.0147361
57100,0.959955,0.0160813
57600,0.958711,0.0148047
58100,0.959998,0.0161261
58600,0.960766,0.0169124
59100,0.960863,0.0170115
59600,0.961447,0.0176092
60100,0.962346,0.0185263
60600,0.962427,0.0186093
61100,0.960916,0.017066
61600,0.961481,0.0176438
62100,0.962664,0.0188503
62600,0.960721,0.0168663
63100,0.960812,0.0169595
63600,0.960443,0.0165818
64100,0.960838,0.0169863
64600,0.961829,0.0179991
65100,0.960714,0.0168594
65600,0.962284,0.0184631
66100,0.9628,0.0189896
66600,0.962141,0.0183174
67100,0.963086,0.01928
67600,0.963728,0.0199342
68100,0.963362,0.0195618
68600,0.964561,0.0207798
69100,0.963631,0.0198353
69600,0.962296,0.0184753
70100,0.96098,0.017131
70600,0.960371,0.0165078
71100,0.959907,0.0160327
71600,0.959857,0.0159816
72100,0.961157,0.0173118
72600,0.962036,0.0182103
73100,0.962372,0.0185527
73600,0.962703,0.0188902
74100,0.961455,0.0176168
74600,0.961657,0.0178236
75100,0.961728,0.0178954
75600,0.960382,0.0165197
76100,0.959949,0.0160758
76600,0.961679,0.0178458
77100,0.963135,0.01933
77600,0.962191,0.0183681
78100,0.962877,0.019068
78600,0.962689,0.0188765
79100,0.962012,0.0181858
79600,0.96171,0.0178771
80100,0.962746,0.0189345
80600,0.96377,0.0199766
81100,0.963343,0.0195418
81600,0.963516,0.0197183
82100,0.963095,0.0192901
82600,0.96162,0.0177859
83100,0.962035,0.0182093
83600,0.961631,0.0177965
84100,0.961925,0.0180969
84600,0.961296,0.0174547
85100,0.96216,0.0183368
85600,0.963468,0.0196696
86100,0.964535,0.0207541
86600,0.963345,0.0195439
87100,0.964512,0.0207303
87600,0.964001,0.0202112
88100,0.964047,0.0202586
88600,0.964532,0.0207513
89100,0.964576,0.020795
89600,0.963642,0.019846
90100,0.96315,0.0193454
90600,0.962127,0.0183026
91100,0.963036,0.0192293
91600,0.962237,0.018415
92100,0.961446,0.0176081
92600,0.95972,0.0158406
93100,0.961144,0.0172993
93600,0.959438,0.0155513
94100,0.959712,0.0158329
94600,0.958853,0.0149514
95100,0.959435,0.0155483
95600,0.95879,0.014886
96100,0.95886,0.0149578
96600,0.959533,0.0156486
97100,0.959297,0.0154074
97600,0.960161,0.0162924
98100,0.96042,0.0165584
98600,0.958705,0.0147991
99100,0.95946,0.0155742
99600,0.959231,0.0153394
